seccion,municipio_clave,municipio,distrito_local,distrito_federal,tipo_seccion,tipo_codigo,centroide_lon,centroide_lat
2,1,AHOME,5,2,URBANA,2,-109.021036,25.800578
3,1,AHOME,5,2,URBANA,2,-109.019955,25.802206
4,1,AHOME,5,2,URBANA,2,-109.019427,25.80075
5,1,AHOME,5,2,URBANA,2,-109.020147,25.79959
6,1,AHOME,5,2,URBANA,2,-109.020763,25.798578
7,1,AHOME,5,2,URBANA,2,-109.019492,25.797584
8,1,AHOME,5,2,URBANA,2,-109.016911,25.801519
9,1,AHOME,5,2,URBANA,2,-109.014148,25.799848
10,1,AHOME,5,2,URBANA,2,-109.014809,25.798313
11,1,AHOME,5,2,URBANA,2,-109.015688,25.797735
12,1,AHOME,5,2,URBANA,2,-109.017481,25.79738
13,1,AHOME,5,2,URBANA,2,-109.018275,25.796161
14,1,AHOME,5,2,URBANA,2,-109.023848,25.791377
15,1,AHOME,5,2,URBANA,2,-109.017129,25.794434
16,1,AHOME,5,2,URBANA,2,-109.015847,25.796258
17,1,AHOME,5,2,URBANA,2,-109.014376,25.795585
18,1,AHOME,5,2,URBANA,2,-109.016117,25.793432
19,1,AHOME,5,2,URBANA,2,-109.011467,25.795068
20,1,AHOME,5,2,URBANA,2,-109.00483,25.796844
21,1,AHOME,5,2,URBANA,2,-109.005344,25.790122
22,1,AHOME,5,2,URBANA,2,-109.010716,25.7877
23,1,AHOME,5,2,URBANA,2,-109.0121,25.785645
26,1,AHOME,5,2,URBANA,2,-109.01335,25.783307
27,1,AHOME,5,2,URBANA,2,-109.007593,25.783451
28,1,AHOME,5,2,URBANA,2,-109.00133,25.794272
29,1,AHOME,5,2,URBANA,2,-108.998823,25.79447
30,1,AHOME,5,2,URBANA,2,-108.997293,25.792364
31,1,AHOME,5,2,URBANA,2,-108.995192,25.79118
32,1,AHOME,5,2,URBANA,2,-109.000396,25.784126
33,1,AHOME,5,2,URBANA,2,-109.004806,25.78029
34,1,AHOME,5,2,URBANA,2,-109.007195,25.778074
35,1,AHOME,5,2,URBANA,2,-109.010518,25.771939
36,1,AHOME,5,2,URBANA,2,-109.006699,25.776205
37,1,AHOME,5,2,URBANA,2,-109.005903,25.777357
